U_up,U_low
0.17,0.155
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.172,0.152
0.172,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.151
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.151
0.172,0.151
0.172,0.151
0.172,0.151
0.172,0.151
0.172,0.151
0.172,0.151
0.172,0.151
0.172,0.152
0.172,0.151
0.171,0.151
0.171,0.151
0.171,0.151
0.17,0.152
0.17,0.152
0.169,0.152
0.169,0.152
0.168,0.153
0.168,0.153
0.168,0.153
0.167,0.153
0.167,0.153
0.166,0.154
0.166,0.155
0.165,0.155
0.165,0.156
0.164,0.156
0.164,0.157
0.164,0.157
0.163,0.158
0.162,0.158
0.161,0.159
0.161,0.159
0.161,0.159
0.161,0.159
0.162,0.16
0.163,0.16
0.162,0.16
0.162,0.159
0.162,0.159
0.162,0.159
0.163,0.159
0.164,0.159
0.163,0.159
0.162,0.159
0.162,0.16
0.165,0.159
0.166,0.159
0.166,0.158
0.166,0.159
0.166,0.159
0.167,0.158
0.168,0.158
0.169,0.157
0.169,0.157
0.17,0.157
0.169,0.156
0.168,0.157
0.169,0.157
0.171,0.156
0.171,0.155
0.173,0.155
0.173,0.155
0.173,0.155
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.154
0.173,0.153
0.173,0.153
0.173,0.153
0.174,0.153
0.174,0.153
0.174,0.153
0.174,0.152
0.173,0.152
0.173,0.152
0.173,0.152
0.174,0.151
0.174,0.151
0.174,0.151
0.173,0.151
0.174,0.151
0.173,0.151
0.173,0.151
0.173,0.151
0.173,0.152
0.173,0.151
0.173,0.151
0.173,0.151
0.173,0.151
0.172,0.152
0.172,0.151
0.172,0.152
0.172,0.152
0.172,0.151
0.172,0.152
0.172,0.152
0.172,0.151
0.172,0.151
0.172,0.152
0.172,0.152
0.172,0.152
0.172,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.17,0.151
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.169,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.151
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.153
0.169,0.153
0.169,0.153
0.169,0.153
0.169,0.153
0.169,0.153
0.169,0.153
0.169,0.154
0.168,0.154
0.168,0.154
0.168,0.155
0.167,0.155
0.166,0.155
0.166,0.156
0.165,0.156
0.164,0.157
0.164,0.157
0.164,0.157
0.164,0.157
0.165,0.157
0.165,0.157
0.165,0.157
0.166,0.157
0.165,0.157
0.164,0.158
0.164,0.158
0.163,0.159
0.163,0.159
0.163,0.159
0.163,0.16
0.165,0.159
0.166,0.159
0.166,0.158
0.167,0.158
0.168,0.157
0.168,0.157
0.167,0.157
0.166,0.159
0.167,0.159
0.166,0.159
0.167,0.158
0.169,0.158
0.17,0.157
0.17,0.156
0.169,0.157
0.17,0.156
0.17,0.156
0.171,0.155
0.171,0.155
0.171,0.155
0.171,0.155
0.172,0.155
0.172,0.155
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.154
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.154
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.172,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.154
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.154
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
